Country,URL (domain),Links
AUSTRIA,http://archiv.dsb.gv.at,1
AUSTRIA,http://awsg.at,9
AUSTRIA,http://digital.austria.gv.at,9
AUSTRIA,http://digitales.oesterreich.gv.at,10
AUSTRIA,http://gesundheit.gv.at,9
AUSTRIA,http://reference.e-government.gv.at,1
AUSTRIA,http://www.a-sit.at,7
AUSTRIA,http://www.ams.at,10
AUSTRIA,http://www.arbeitsinspektion.gv.at,10
AUSTRIA,http://www.auftrag.at,1
AUSTRIA,http://www.austria.gv.at,9
AUSTRIA,http://www.bbg.gv.at,10
AUSTRIA,http://www.bibliotheken.at,10
AUSTRIA,http://www.bmeia.gv.at,10
AUSTRIA,http://www.bmf.gv.at,2
AUSTRIA,http://www.bmgfj.gv.at,10
AUSTRIA,http://www.bmi.gv.at,3
AUSTRIA,http://www.buergerkarte.at,1
AUSTRIA,http://www.bundespraesident.at,7
AUSTRIA,http://www.chipkarte.at,5
AUSTRIA,http://www.data.gv.at,3
AUSTRIA,http://www.digitalroadmap.gv.at,3
AUSTRIA,http://www.egiz.gv.at,8
AUSTRIA,http://www.elga.gv.at,1
AUSTRIA,http://www.euraxess.at,7
AUSTRIA,http://www.gemeindebund.at,10
AUSTRIA,http://www.handy-signatur.at,1
AUSTRIA,http://www.help.gv.at,1
AUSTRIA,http://www.herold.at,10
AUSTRIA,http://www.ldap.gv.at,1
AUSTRIA,http://www.ocg.at,10
AUSTRIA,http://www.on-norm.at,1
AUSTRIA,http://www.onlinesicherheit.gv.at,1
AUSTRIA,http://www.parlament.gv.at,10
AUSTRIA,http://www.patentamt.at,4
AUSTRIA,http://www.pep-online.at,2
AUSTRIA,http://www.reachhelpdesk.at,10
AUSTRIA,http://www.rechnungshof.gv.at,1
AUSTRIA,http://www.ris.bka.gv.at,6
AUSTRIA,http://www.rtr.at,10
AUSTRIA,http://www.signature-verification.gv.at,3
AUSTRIA,http://www.sozialministerium.at,10
AUSTRIA,http://www.staedtebund.gv.at,8
AUSTRIA,http://www.statistik.at,10
AUSTRIA,http://www.stipendium.at,9
AUSTRIA,http://www.usp.gv.at,1
AUSTRIA,http://www.watchlist-praktikum.at,10
AUSTRIA,http://www.zustellung.gv.at,1
AUSTRIA,https://beratungsstelle.counteract.or.at,9
AUSTRIA,https://dvr.dsb.gv.at,1
AUSTRIA,https://en.brz.gv.at,3
AUSTRIA,https://finanzonline.bmf.gv.at,6
AUSTRIA,https://ldap.gv.at,1
AUSTRIA,https://portal.bbg.gv.at,3
AUSTRIA,https://secure.umweltbundesamt.at,1
AUSTRIA,https://univis.univie.ac.at,3
AUSTRIA,https://www.adv.at,10
AUSTRIA,https://www.bmfj.gv.at,1
AUSTRIA,https://www.e-ams.at,1
AUSTRIA,https://www.eap.gv.at,1
AUSTRIA,https://www.elda.at,3
AUSTRIA,https://www.en.bmdw.gv.at,1
AUSTRIA,https://www.eps-ueberweisung.at,1
AUSTRIA,https://www.erechnung.gv.at,10
AUSTRIA,https://www.ffg.at,10
AUSTRIA,https://www.gruenderservice.at,1
AUSTRIA,https://www.ris.bka.gv.at,6
AUSTRIA,https://www.sozialversicherung.at,10
AUSTRIA,https://www.wko.at,1
BELGIUM,http://as-e.be,10
BELGIUM,http://bcss.fgov.be,10
BELGIUM,http://be.brussels,10
BELGIUM,http://belgique.be,1
BELGIUM,http://bric.brussels,10
BELGIUM,http://cert.be,1
BELGIUM,http://cfwb.be,2
BELGIUM,http://diplomatie.belgium.be,10
BELGIUM,http://economie.fgov.be,10
BELGIUM,http://eid.belgium.be,10
BELGIUM,http://elearning.hainaut.be,1
BELGIUM,http://fgov.be,10
BELGIUM,http://finance.belgium.be,10
BELGIUM,http://flahaut.cfwb.be,10
BELGIUM,http://greoli.cfwb.be,1
BELGIUM,http://greoli.wallonie.be,1
BELGIUM,http://inami.fgov.be,10
BELGIUM,http://ipf.hainaut.be,10
BELGIUM,http://kanselarij.belgium.be,10
BELGIUM,http://marchespublics.wallonie.be,1
BELGIUM,http://mybelgium.be,5
BELGIUM,http://parlement.wallonie.be,9
BELGIUM,http://plda.fgov.be,1
BELGIUM,http://premier.fgov.be,10
BELGIUM,http://registry.fsb.pr.belgium.be,1
BELGIUM,http://safeonweb.be,10
BELGIUM,http://www.accueildesenfants.be,1
BELGIUM,http://www.actiris.be,1
BELGIUM,http://www.actirisinternational.be,1
BELGIUM,http://www.alexanderdecroo.be,10
BELGIUM,http://www.avcb-vsgb.be,10
BELGIUM,http://www.awt.be,1
BELGIUM,http://www.belgianchambers.be,10
BELGIUM,http://www.belnet.be,10
BELGIUM,http://www.belspo.be,1
BELGIUM,http://www.bib.belgium.be,1
BELGIUM,http://www.bibliotheques.be,1
BELGIUM,http://www.bildungsserver.be,1
BELGIUM,http://www.business.belgium.be,5
BELGIUM,http://www.cirb.irisnet.be,10
BELGIUM,http://www.dglive.be,1
BELGIUM,http://www.dgparlament.be,1
BELGIUM,http://www.digitalbelgium.be,1
BELGIUM,http://www.droitbelge.be,3
BELGIUM,http://www.ejustice.just.fgov.be,1
BELGIUM,http://www.employment.belgium.be,1
BELGIUM,http://www.enseignement.be,10
BELGIUM,http://www.ensemblesimplifions.be,10
BELGIUM,http://www.fedict.be,10
BELGIUM,http://www.hvw.fgov.be,10
BELGIUM,http://www.ibz.be,10
BELGIUM,http://www.ibz.rrn.fgov.be,1
BELGIUM,http://www.icao.int,1
BELGIUM,http://www.infos-entreprises.be,10
BELGIUM,http://www.internet-observatory.be,1
BELGIUM,http://www.internet2.edu,10
BELGIUM,http://www.ksz-bcss.fgov.be,10
BELGIUM,http://www.ksz.fgov.be,10
BELGIUM,http://www.lachambre.be,1
BELGIUM,http://www.leaseconnect.be,10
BELGIUM,http://www.leforem.be,2
BELGIUM,http://www.liesbethhomans.be,10
BELGIUM,http://www.mediadg.be,3
BELGIUM,http://www.monarchie.be,7
BELGIUM,http://www.ond.vlaanderen.be,1
BELGIUM,http://www.onem.be,10
BELGIUM,http://www.parlbru.irisnet.be,10
BELGIUM,http://www.pcf.be,10
BELGIUM,http://www.plan.be,1
BELGIUM,http://www.privacycommission.be,1
BELGIUM,http://www.publicprocurement.be,10
BELGIUM,http://www.reachinbelgium.be,1
BELGIUM,http://www.senat.be,3
BELGIUM,http://www.simplification.be,7
BELGIUM,http://www.statbel.fgov.be,10
BELGIUM,http://www.taxonweb.be,1
BELGIUM,http://www.theofrancken.be,10
BELGIUM,http://www.uvcw.be,9
BELGIUM,http://www.vdab.be,8
BELGIUM,http://www.vlaamsparlement.be,6
BELGIUM,http://www.vlaanderen.be,10
BELGIUM,http://www.wallonie.be,9
BELGIUM,https://bosa.belgium.be,10
BELGIUM,https://dc.digital.belgium.be,1
BELGIUM,https://digitaldashboard.belgium.be,7
BELGIUM,https://ecat.publicprocurement.be,1
BELGIUM,https://enot.publicprocurement.be,1
BELGIUM,https://eten.publicprocurement.be,1
BELGIUM,https://irisbox.irisnet.be,8
BELGIUM,https://nova.irisnet.be,1
BELGIUM,https://overheid.vlaanderen.be,10
BELGIUM,https://policeonweb.belgium.be,1
BELGIUM,https://sign.belgium.be,1
BELGIUM,https://signature.wallonie.be,10
BELGIUM,https://urbanisme.irisnet.be,10
BELGIUM,https://www.biancadebaets.be,10
BELGIUM,https://www.cert.be,1
BELGIUM,https://www.courdescomptes.be,10
BELGIUM,https://www.csam.be,1
BELGIUM,https://www.euraxess.be,7
BELGIUM,https://www.gcloud.belgium.be,10
BELGIUM,https://www.safeonweb.be,10
BELGIUM,https://www.socialsecurity.be,10
BULGARIA,http://boykoborissov.bg,7
BULGARIA,http://ckan.org,10
BULGARIA,http://dv.parliament.bg,1
BULGARIA,http://efaktura.bg,3
BULGARIA,http://gov.bg,10
BULGARIA,http://government.bg,10
BULGARIA,http://inv.bg,10
BULGARIA,http://kais.cadastre.bg,1
BULGARIA,http://lex.bg,1
BULGARIA,http://minfin.bg,10
BULGARIA,http://rop3-app1.aop.bg:7778,1
BULGARIA,http://validni.mvr.bg,1
BULGARIA,http://www.aip-bg.org,10
BULGARIA,http://www.aop.bg,1
BULGARIA,http://www.az.government.bg,9
BULGARIA,http://www.bobs.bg,10
BULGARIA,http://www.bpo.bg,1
BULGARIA,http://www.brra.bg,1
BULGARIA,http://www.bulnao.government.bg,10
BULGARIA,http://www.chemicals.moew.government.bg,1
BULGARIA,http://www.constcourt.bg,10
BULGARIA,http://www.cpdp.bg,10
BULGARIA,http://www.crc.bg,1
BULGARIA,http://www.cybercrime.bg,10
BULGARIA,http://www.ecc.bg,10
BULGARIA,http://www.en.customs.bg,10
BULGARIA,http://www.euraxess.bg,4
BULGARIA,http://www.ezok.bg,1
BULGARIA,http://www.fni.bg,7
BULGARIA,http://www.gli.government.bg,6
BULGARIA,http://www.grao.government.bg,1
BULGARIA,http://www.is-bg.net,10
BULGARIA,http://www.kzp.bg,10
BULGARIA,http://www.mfa.bg,10
BULGARIA,http://www.mh.government.bg,10
BULGARIA,http://www.moew.government.bg,10
BULGARIA,http://www.mrrb.government.bg,10
BULGARIA,http://www.mtitc.government.bg,10
BULGARIA,http://www.mvr.bg,8
BULGARIA,http://www.nap.bg,10
BULGARIA,http://www.nationallibrary.bg,8
BULGARIA,http://www.ngobg.info,1
BULGARIA,http://www.noi.bg,10
BULGARIA,http://www.nsi.bg,10
BULGARIA,http://www.president.bg,10
BULGARIA,http://www.registryagency.bg,10
BULGARIA,http://www.rta.government.bg,1
BULGARIA,http://www.saveti.government.bg,7
BULGARIA,http://www.strategy.bg,1
BULGARIA,http://www.vks.bg,1
BULGARIA,https://cs.mjs.bg,10
BULGARIA,https://e-gov.bg,10
BULGARIA,https://e-uslugi.mvr.bg,1
BULGARIA,https://edelivery.egov.bg,10
BULGARIA,https://egov.bg,10
BULGARIA,https://govcert.bg,10
BULGARIA,https://inetdec.nra.bg,1
BULGARIA,https://izdadeni.mvr.bg,1
BULGARIA,https://kais.cadastre.bg,1
BULGARIA,https://opendata.government.bg,10
BULGARIA,https://www.cik.bg,10
BULGARIA,https://www.lex.bg,10
BULGARIA,https://www.mon.bg,1
CROATIA,http://e-usmjeravanje.hzz.hr,9
CROATIA,http://gov.hr,10
CROATIA,http://narodne-novine.nn.hr,1
CROATIA,http://predsjednica.hr,4
CROATIA,http://prodii.uprava.hr:83,1
CROATIA,http://public.mzos.hr,1
CROATIA,http://stari.mup.hr,1
CROATIA,http://www.azop.hr,10
CROATIA,http://www.carina.hr,10
CROATIA,http://www.dgu.hr,10
CROATIA,http://www.digured.hr,10
CROATIA,http://www.dzs.hr,1
CROATIA,http://www.efzg.unizg.hr,9
CROATIA,http://www.fina.hr,1
CROATIA,http://www.hitro.hr,1
CROATIA,http://www.hzz.hr,1
CROATIA,http://www.hzzo-net.hr,10
CROATIA,http://www.isvu.hr,3
CROATIA,http://www.javnanabava.hr,1
CROATIA,http://www.katastar.hr,10
CROATIA,http://www.mfin.hr,10
CROATIA,http://www.min-kulture.hr,9
CROATIA,http://www.mingo.hr,10
CROATIA,http://www.mirovinsko.hr,1
CROATIA,http://www.mppi.hr,1
CROATIA,http://www.mup.hr,7
CROATIA,http://www.mzoip.hr,3
CROATIA,http://www.newfelpro.hr,1
CROATIA,http://www.revizija.hr,10
CROATIA,http://www.sabor.hr,10
CROATIA,http://www.srce.hr,9
CROATIA,http://www.sudacka-mreza.hr,1
CROATIA,http://www.uprava.hr,10
CROATIA,http://www.uvns.hr,10
CROATIA,http://www.vlada.hr,10
CROATIA,https://carina.gov.hr,10
CROATIA,https://data.gov.hr,9
CROATIA,https://diplomski.studij.hr,1
CROATIA,https://e-obrt.minpo.hr,1
CROATIA,https://eojn.nn.hr,10
CROATIA,https://eplovilo.pomorstvo.hr,2
CROATIA,https://mzo.hr,8
CROATIA,https://portal.zdravlje.hr,4
CROATIA,https://pretinac.gov.hr,2
CROATIA,https://razvoj.gov.hr,10
CROATIA,https://rdd.gov.hr,10
CROATIA,https://sudreg.pravosudje.hr,10
CROATIA,https://uprava.gov.hr,10
CROATIA,https://vlada.gov.hr,10
CROATIA,https://www.apis-it.hr,1
CROATIA,https://www.carnet.hr,10
CROATIA,https://www.euraxess.hr,7
CROATIA,https://www.gov.hr,10
CROATIA,https://zdravstvo.gov.hr,10
CYPRUS,http://enimerosi.moec.gov.cy,10
CYPRUS,http://journals.sas.ac.uk,10
CYPRUS,http://library.ucy.ac.cy,10
CYPRUS,http://onek.org.cy,10
CYPRUS,http://portal.dls.moi.gov.cy,2
CYPRUS,http://www.audit.gov.cy,1
CYPRUS,http://www.businessincyprus.gov.cy,1
CYPRUS,http://www.centralbank.gov.cy,1
CYPRUS,http://www.cln.com.cy,1
CYPRUS,http://www.cm.gov.cy,1
CYPRUS,http://www.consumersunion.org.cy,1
CYPRUS,http://www.cut.ac.cy,10
CYPRUS,http://www.cylaw.org,2
CYPRUS,http://www.cyprus.gov.cy,1
CYPRUS,http://www.cypruslibrary.gov.cy,1
CYPRUS,http://www.data.gov.cy,10
CYPRUS,http://www.dataprotection.gov.cy,1
CYPRUS,http://www.drones.gov.cy,1
CYPRUS,http://www.eapp.mcw.gov.cy,1
CYPRUS,http://www.ekk.org.cy,1
CYPRUS,http://www.etek.org.cy,1
CYPRUS,http://www.euraxess.org.cy,7
CYPRUS,http://www.fundingprogrammesportal.gov.cy,9
CYPRUS,http://www.highereducation.ac.cy,2
CYPRUS,http://www.icpac.org.cy,2
CYPRUS,http://www.internalaudit.gov.cy,1
CYPRUS,http://www.jcc.com.cy,1
CYPRUS,http://www.kypros.org,10
CYPRUS,http://www.law.gov.cy,3
CYPRUS,http://www.mcit.gov.cy,5
CYPRUS,http://www.mcw.gov.cy,1
CYPRUS,http://www.mlsi.gov.cy,1
CYPRUS,http://www.moa.gov.cy,1
CYPRUS,http://www.mof.gov.cy,10
CYPRUS,http://www.moh.gov.cy,1
CYPRUS,http://www.moi.gov.cy,3
CYPRUS,http://www.ocecpr.org.cy,5
CYPRUS,http://www.ouc.ac.cy,10
CYPRUS,http://www.parliament.cy,10
CYPRUS,http://www.police.gov.cy,1
CYPRUS,http://www.presidency.gov.cy,1
CYPRUS,http://www.psc.gov.cy,1
CYPRUS,http://www.reform.gov.cy,10
CYPRUS,http://www.research.org.cy,9
CYPRUS,http://www.structuralfunds.org.cy,9
CYPRUS,http://www.supremecourt.gov.cy,1
CYPRUS,http://www.treasury.gov.cy,1
CYPRUS,http://www.ucm.org.cy,10
CYPRUS,http://www.volunteercommissioner.gov.cy,3
CYPRUS,https://cge.cyprus.gov.cy,6
CYPRUS,https://ecivil.crmd.moi.gov.cy,1
CYPRUS,https://fundingapps.mcit.gov.cy,1
CYPRUS,https://www.eac.com.cy,7
CYPRUS,https://www.eprocurement.gov.cy,9
CYPRUS,https://www.esafecyprus.ac.cy,10
CYPRUS,https://www.oikade.gov.cy,1
CYPRUS,https://www.pay.sid.mlsi.gov.cy,3
CYPRUS,https://www.ucy.ac.cy,10
CZECK REPUBLIC,http://aplikace.mvcr.cz,1
CZECK REPUBLIC,http://eagri.cz,10
CZECK REPUBLIC,http://geoportal.cuzk.cz,10
CZECK REPUBLIC,http://mesta.obce.cz,1
CZECK REPUBLIC,http://nenkomfortne.cz,1
CZECK REPUBLIC,http://portal.gov.cz,10
CZECK REPUBLIC,http://portal.mpsv.cz,10
CZECK REPUBLIC,http://qca.postsignum.cz,5
CZECK REPUBLIC,http://tsl.gov.cz,3
CZECK REPUBLIC,http://www-old.gts.cz,1
CZECK REPUBLIC,http://www.asociacekraju.cz,10
CZECK REPUBLIC,http://www.businessinfo.cz,10
CZECK REPUBLIC,http://www.ceb.cz,10
CZECK REPUBLIC,http://www.centralniadresa.cz,10
CZECK REPUBLIC,http://www.cs.mfcr.cz,1
CZECK REPUBLIC,http://www.cuzk.cz,3
CZECK REPUBLIC,http://www.czechpoint.cz,10
CZECK REPUBLIC,http://www.datoveschranky.info,6
CZECK REPUBLIC,http://www.eambulance.cz,1
CZECK REPUBLIC,http://www.eidentity.cz,9
CZECK REPUBLIC,http://www.en.nkp.cz,9
CZECK REPUBLIC,http://www.epusa.cz,1
CZECK REPUBLIC,http://www.euraxess.cz,6
CZECK REPUBLIC,http://www.financnisprava.cz,10
CZECK REPUBLIC,http://www.hrad.cz,10
CZECK REPUBLIC,http://www.ica.cz,1
CZECK REPUBLIC,http://www.ispop.cz,3
CZECK REPUBLIC,http://www.izip.cz,1
CZECK REPUBLIC,http://www.mdcr.cz,10
CZECK REPUBLIC,http://www.mlp.cz,10
CZECK REPUBLIC,http://www.mpo.cz,10
CZECK REPUBLIC,http://www.mvcr.cz,10
CZECK REPUBLIC,http://www.mzcr.cz,9
CZECK REPUBLIC,http://www.mzp.cz,10
CZECK REPUBLIC,http://www.nku.cz,10
CZECK REPUBLIC,http://www.policie.cz,2
CZECK REPUBLIC,http://www.portal-vz.cz,10
CZECK REPUBLIC,http://www.psp.cz,3
CZECK REPUBLIC,http://www.senat.cz,10
CZECK REPUBLIC,http://www.smocr.cz,1
CZECK REPUBLIC,http://www.szrcr.cz,7
CZECK REPUBLIC,http://www.uoou.cz,1
CZECK REPUBLIC,http://www.vlada.cz,10
CZECK REPUBLIC,http://www.zakonyprolidi.cz,10
CZECK REPUBLIC,http://www1.cenia.cz,6
CZECK REPUBLIC,https://apps.odok.cz,10
CZECK REPUBLIC,https://eportal.cssz.cz,9
CZECK REPUBLIC,https://nen.nipez.cz,1
CZECK REPUBLIC,https://old.datahub.io,10
CZECK REPUBLIC,https://opendata.gov.cz,9
CZECK REPUBLIC,https://ria.vlada.cz,8
CZECK REPUBLIC,https://seznam.gov.cz,10
CZECK REPUBLIC,https://www.ceskaposta.cz,10
CZECK REPUBLIC,https://www.czechtrade.cz,10
CZECK REPUBLIC,https://www.czso.cz,10
CZECK REPUBLIC,https://www.digivysocina.cz,10
CZECK REPUBLIC,https://www.eambulance.cz,1
CZECK REPUBLIC,https://www.epreskripce.cz,7
CZECK REPUBLIC,https://www.govcert.cz,9
CZECK REPUBLIC,https://www.kr-vysocina.cz,6
CZECK REPUBLIC,https://www.mojedatovaschranka.cz,10
CZECK REPUBLIC,https://www.mojeid.cz,10
CZECK REPUBLIC,https://www.portal.gov.cz,10
CZECK REPUBLIC,https://www.spcss.cz,10
DENMARK,http://bibliotek.dk,10
DENMARK,http://boligejer.dk,8
DENMARK,http://borger.dk,10
DENMARK,http://digitaliser.dk,10
DENMARK,http://dj-lw.lovportaler.dk,1
DENMARK,http://em.dk,10
DENMARK,http://engelsk.arbejdstilsynet.dk,10
DENMARK,http://euraxess.dk,7
DENMARK,http://innovationsfonden.dk,10
DENMARK,http://it.dk,5
DENMARK,http://kongehuset.dk,10
DENMARK,http://legislationline.org,10
DENMARK,http://retsinformation.dk,10
DENMARK,http://sundhed.dk,5
DENMARK,http://tastselv.skat.dk,1
DENMARK,http://ufm.dk,10
DENMARK,http://uk.fm.dk,8
DENMARK,http://uk.rigsrevisionen.dk,10
DENMARK,http://www.ak-samvirke.dk,7
DENMARK,http://www.at.dk,10
DENMARK,http://www.consumerombudsman.dk,10
DENMARK,http://www.cpr.dk,8
DENMARK,http://www.cvr.dk,10
DENMARK,http://www.datatilsynet.dk,8
DENMARK,http://www.digitalsignatur.dk,8
DENMARK,http://www.digst.dk,9
DENMARK,http://www.dkblind.dk,9
DENMARK,http://www.dkpto.org,1
DENMARK,http://www.dst.dk,5
DENMARK,http://www.efkm.dk,10
DENMARK,http://www.fm.dk,10
DENMARK,http://www.folketinget.dk,9
DENMARK,http://www.it-formidler.dk,9
DENMARK,http://www.jobnet.dk,2
DENMARK,http://www.kl.dk,5
DENMARK,http://www.mst.dk,10
DENMARK,http://www.nemhandel.dk,7
DENMARK,http://www.nemkonto.dk,10
DENMARK,http://www.netindkob.dk,4
DENMARK,http://www.optagelse.dk,1
DENMARK,http://www.regioner.dk,9
DENMARK,http://www.skat.dk,1
DENMARK,http://www.ski.dk,1
DENMARK,http://www.statens-it.dk,8
DENMARK,http://www.stm.dk,1
DENMARK,http://www.su.dk,8
DENMARK,http://www.udbudsportalen.dk,9
DENMARK,http://www.virk.dk,10
DENMARK,https://danishbusinessauthority.dk,9
DENMARK,https://en.digst.dk,9
DENMARK,https://lifeindenmark.borger.dk,10
DENMARK,https://post.borger.dk,1
DENMARK,https://www.nemkonto.dk,10
ESTONIA,http://bpr.sm.ee,5
ESTONIA,http://digiabc.ee,8
ESTONIA,http://digidoc.sk.ee,2
ESTONIA,http://ell.ee,9
ESTONIA,http://klis.envir.ee,1
ESTONIA,http://kov.riik.ee,5
ESTONIA,http://portaal.ell.ee,10
ESTONIA,http://www.aki.ee,10
ESTONIA,http://www.digilugu.ee,9
ESTONIA,http://www.eesti.ee,10
ESTONIA,http://www.ega.ee,9
ESTONIA,http://www.emovl.ee,10
ESTONIA,http://www.emta.ee,10
ESTONIA,http://www.epa.ee,10
ESTONIA,http://www.hitsa.ee,10
ESTONIA,http://www.hm.ee,10
ESTONIA,http://www.id.ee,9
ESTONIA,http://www.itk.ee,10
ESTONIA,http://www.itl.ee,10
ESTONIA,http://www.legaltext.ee,1
ESTONIA,http://www.mkm.ee,10
ESTONIA,http://www.mnt.ee,10
ESTONIA,http://www.nlib.ee,10
ESTONIA,http://www.politsei.ee,10
ESTONIA,http://www.president.ee,1
ESTONIA,http://www.ria.ee,4
ESTONIA,http://www.riigikogu.ee,9
ESTONIA,http://www.riigikontroll.ee,2
ESTONIA,http://www.sk.ee,10
ESTONIA,http://www.struktuurifondid.ee,10
ESTONIA,http://www.tarbijakaitseamet.ee,10
ESTONIA,http://www.undp.org,10
ESTONIA,http://www.vali-it.ee,9
ESTONIA,https://ariregister.rik.ee,10
ESTONIA,https://digidoc.sk.ee,8
ESTONIA,https://digireg.keskhaigla.ee,1
ESTONIA,https://e-resident.gov.ee,9
ESTONIA,https://estat.stat.ee,10
ESTONIA,https://etaotlus.politsei.ee,1
ESTONIA,https://ettevotjaportaal.rik.ee,1
ESTONIA,https://portaal.agri.ee,1
ESTONIA,https://riigihanked.riik.ee,4
ESTONIA,https://riigikantselei.ee,10
ESTONIA,https://valitsus.ee,10
ESTONIA,https://www.emt.ee,10
ESTONIA,https://www.etis.ee,7
ESTONIA,https://www.evs.ee,10
ESTONIA,https://www.haigekassa.ee,10
ESTONIA,https://www.kovtp.ee,10
ESTONIA,https://www.riigiteataja.ee,9
ESTONIA,https://www.siseministeerium.ee,10
ESTONIA,https://www.tootukassa.ee,6
ESTONIA,https://www.valimised.ee,10
FINLAND,http://demokratia.fi,9
FINLAND,http://kansalaisaloite.fi,10
FINLAND,http://lausuntopalvelu.fi,10
FINLAND,http://libraries.fi,6
FINLAND,http://nuortenideat.fi,8
FINLAND,http://oikeusministerio.fi,10
FINLAND,http://otakantaa.fi,10
FINLAND,http://paikkatietoikkuna.fi,4
FINLAND,http://stm.fi,10
FINLAND,http://studyinfo.fi,10
FINLAND,http://suomi.fr,1
FINLAND,http://tunnistus.fi,0
FINLAND,http://vm.fi,10
FINLAND,http://vnk.fi,10
FINLAND,http://www.aka.fi,10
FINLAND,http://www.finlex.fi,10
FINLAND,http://www.hankintailmoitukset.fi,10
FINLAND,http://www.hansel.fi,8
FINLAND,http://www.kanta.fi,10
FINLAND,http://www.kela.fi,10
FINLAND,http://www.kemikaalineuvonta.fi,10
FINLAND,http://www.kirjastot.fi,7
FINLAND,http://www.kunnat.net,8
FINLAND,http://www.lvm.fi,10
FINLAND,http://www.mol.fi,3
FINLAND,http://www.oikeusasiamies.fi,10
FINLAND,http://www.oph.fi,10
FINLAND,http://www.palkka.fi,10
FINLAND,http://www.poliisi.fi,10
FINLAND,http://www.president.fi,1
FINLAND,http://www.stat.fi,10
FINLAND,http://www.statetreasury.fi,7
FINLAND,http://www.suomi.fi,1
FINLAND,http://www.tax.fi,10
FINLAND,http://www.tekes.fi,10
FINLAND,http://www.tietosuoja.fi,5
FINLAND,http://www.tpk.fi,1
FINLAND,http://www.trafi.fi,10
FINLAND,http://www.tulli.fi,10
FINLAND,http://www.vaestorekisterikeskus.fi,10
FINLAND,http://www.valtiokonttori.fi,10
FINLAND,http://www.valtioneuvosto.fi,7
FINLAND,http://www.valtori.fi,10
FINLAND,http://www.vtv.fi,8
FINLAND,http://www.ymparisto.fi,10
FINLAND,http://www.ytj.fi,1
FINLAND,https://asiointi.poliisi.fi,10
FINLAND,https://asiointi.trafi.fi,10
FINLAND,https://esuomi.fi,10
FINLAND,https://opintopolku.fi,10
FINLAND,https://tutkihankintoja.fi,10
FINLAND,https://www.euraxess.fi,6
FINLAND,https://www.localfinland.fi,8
FINLAND,https://www.opendata.fi,10
